순번,발생 일시,발생 유형,현업 부서,단계,이슈 발생 보고,대응 결과
60,2022-08-19,언론 문의,,주의,"Q. 인니 팜 개발 관련
- 인니 팜 농장은 2020년 파푸아섬 열대우림을 화전으로 개발한 것인가?
A. 노르웨이 연기금이 ‘15년에 했던 주장으로 당시 회사에서 화전을 하지 않았음을 자료를 바탕으로 소명하였습니다. 화전은 현지법상 사업허가 취소 사유이며, 회사는 충분한 인력과 장비가 있어 전혀 화전를 할 필요가 없었고, 효율적이지도 않았습니다.  다만 당시 엘니뇨 현상으로 인해 파푸아에 자연발화로 인한 화재가 다수 발생했을 뿐입니다.

- 유기물 퇴적지인 이탄지대로, 화재 발생시 엄청난 양의 이산화탄소가 발생되는 곳인데?
당사 팜농장은 단 1%도 이탄지대에 포함되어있지 않습니다. 이는 인도네시아 정부에서도 확인한 사항이며, NGO위성지도 플랫폼으로 이탄지대를 확인해보아도 알 수 있는 사항입니다.

Q. 친환경 인증 관련
- 인니 팜 관련 어떤 환경적 노력을 해 왔는가?
A. '19년 9월 ISPO(Indonesian Sustainable Palm Oil) 인증 취득을 시작으로, 20년 3월 NDPE(No Deforestation No Peat No Exploitation) 정책 선언, 21년 9월 RSPO(Roundtable On Sustainable Palm Oil) 인증 취득, 22년 7월 인도네시아 환경산림부에서 시행하는 기업의 환경경영 성과 평가인 PROPER에서 BLUE등급 취득하는 등 팜사업 관련 국제 정책선언과 인증 취득을 꾸준히 해 오고 있습니다.

-RSPO 인증의 실효성에 대해 비판적인 주장을 하는 비영리기구들이 있는데, 이에 대한 입장은 무엇인지
A. RSPO(Roundtable on Sustainable Palm Oil)는 NGO를 포함한 여러 팜 사업 이해관계자들로 구성된 비영리기구(Non-Profit Organization)이며, 매년 정기 총회 및 상시 이의제기 채널을 운영하며 NGO측의 의견을 지속적으로 반영하고 있습니다. 
RSPO 인증 발급을 위한 원칙과 기준 또한 이해관계자의 목소리를 반영하여 지속적으로 강화되어 왔으며, 현재 7개 원칙 하 179개 평가항목을 모두 통과한 기업에만 발급하는, 가장 엄격한 지속가능 팜유 인증으로 인정되고 있습니다. 또한, 인증 발급 승인 기관은 RSPO가 아닌 제3자 감사 기관이며, 발급 후에도 매년 정기 감사를 통과해야만 인증이 유지됩니다.
이에, RSPO 인증의 실효성에 대한 비판적인 주장이 일부 있을 지라도, 회사는 가장 높은 수준의 팜 사업 지속가능경영을 이행하고 있다고 할 수 있습니다. 
나아가, 회사는 NGO 등 이해관계자의 요구에 부응하기 위해 자발적 환경사회정책인 NDPE정책을 2020년 3월 도입하였으며, 정책 이행을 위한 세부 실행계획서와 이행보고서를 지속 공개하며 이해관계자와 적극 소통하고 있습니다.

Q. 싱가포르 소재 지주회사 '아그파' 관련 
-지난해 11월 싱가포르에 설립한 지주회사 '아그파'에 BIA 지분 65%를 매각했는지
-그럼 향후 인도네시아 팜유 사업의 경영상 책임은 포스코인터가 아니라 아그파에게 돌아가는지
-아그파 설립에 대해 인도네시아 열대우림환경파괴 책임을 손절하려는 묘수이자 그린워싱이라는 비판에 대한 포스코인터의 입장은 어떤지
A. PT.BIA 지분의 85%를 포스코인터에서 보유하였고, 이 전체를 싱가폴 AGPA로 이전한 것으로, 65%가 아닌 85%가 올바른 정보입니다.
따라서 AGPA지분의 100%를 포스코인터가 보유하기 때문에 인도네시아 팜유 사업의 경영상의 책임도 여전히 포스코인터에 있다고 할 수 있습니다. 즉, AGPA 설립에 대해 회사가 환경 경영 책임을 피하려는 묘수를 쓴 것이라는 비판은 전혀 합당하지 않습니다. 
싱가포르에 AGPA 지주사를 설립한 이유는 팜 사업 환경 이슈와는 무관하며, 싱가포르라는 국가가 세계 금융과 물류 허브로서 시장 상황에 기민하게 대응할 수 있도록 하고, 추가 투자자금 조달에도 용이한 부분이 있기 때문입니다.

Q. 멸종위기종 보호 관련 
- 현지 팜농장으로 인해 서식지를 잃었다고 알려진 멸종위기종 오랑우탄 등에 대한 직접적인 보호 정책은 없는지
A. 당사의 농장이 소재하고 있는 파푸아 지역은 농장 개발 이전부터 오랑우탄의 서식지가 아니었습니다. 파푸아에서는 극락조, 화식조, 철새 등 다양한 조류 종이 서식하고 있으며, 당사는 팜 농장 임지 내에 새를 포함한 동물 서식지, 하천 주변지역 및 선주민들의 신성 지역 등을 高보존가치(HCV, High Conservation Value)구역으로 지정하여, 개발하지 않고 생물다양성 보전을 위한 적극적 보호 활동 및 모니터링을 진행하고 있습니다.  
A. 자바 섬에서 서식하는 긴팔원숭이의 경우 멸종위기에 처해 있음에도 다른 동식물에 비해 연구가 부진하여 보호에 어려움을 겪고 있는 상황인 바, 회사에서 동 연구를 3년간 지원하기로 결정하였습니다. 농장 개발과 직접적 관련은 없지만 회사는 긴팔원숭이 연구 지원을 통해 다른 멸종위기에 처한 동물들의 서식지 및 개체군 보호에 대해서도 인사이트를 얻을 수 있을 것을 기대합니다. 

Q. 2022년 2분기 실적 보고서 내용 관련
- 인니 팜 농장을 추가 구매하는 방법 등의 적극적인 투자 방침을 발표했는데, 기존 방식인 농지개간 대신 이미 형성된 농지를 구매하는 건 환경파괴를 최소화하기 위한 ESG 전략의 일환인지
A. 기 개발된 농장 인수를 결정한 것은 환경파괴를 최소화하기 위한  방법이 맞습니다. 뿐만 아니라 인수 대상 농장 검토 시 환경적인 문제가 없는 지, 당사의 NDPE 정책 적용이 가능한 지 등을 면밀히 검토, 의사결정에 반영하고 있습니다.  ","22.08.19. 뉴스펭귄 
< 인도네시아 열대우림 보호 '러쉬'... ""국내기업과 비교돼"">
https://www.newspenguin.com/news/articleView.html?idxno=12180"
61,2022-08-22,보도자료,,관심,"타슈켄트 밤하늘에 울려퍼진 오페라'춘향전'포스코인터내셔널, 오페라 후원으로 부산엑스포 유치 지원 나서",
62,2022-08-24,기획기사,,관심,목화 수확부터 방직·직물 제조까지 ‘밸류체인’ 갖춘 면방기업 [K브랜드 리포트],세계일보
63,2022-08-24,기획기사,,관심,글로벌 네트워크망 활용 ‘2030 부산엑스포’ 유치 총력전 [K브랜드 리포트],세계일보
64,2022-08-26,보도자료,,관심,포스코인터내셔널 국내 우수 중소벤처기업 수줄 도우미 앞장,
65,2022-08-26,기획기사,,관심,"[르포] 없어 못파는 전기차 심장 ‘모터코아’… 포스코인터, 꼼꼼한 품질관리가 최우선",뉴데일리
66,2022-08-30,언론 문의,,관심,"전년도 대비 직원 평균 임금 상승이 되었는데, 이것이 사실이 맞는지?
'21년 상반기 평균 급여액은 53백만원, '22년 동일시점 평균 급여액은 66백만원으로,전년대비 약 13백만원(24.5%) 수준의 임금이 수치상 증가한 것은 사실입니다. 
다만, 해당 데이터 산출대상은 비등기임원을 포함한 본/지사 임직원인 관계로 ■ 임원 보수(급/상여), ■ 지사근무자의 각종 해외수당 등이 일체 가산되어 있어 일반적으로 생각하는 본사 직원의 급여통계치와는 괴리가 있습니다. 

또한 ■ '22년초 지급된 '21년 직원 경영성과급의 지급률 차이로 '22년 직원의 보수가 증가한 점 참고하여 주시면 감사하겠습니다. 
※ 영업이익 목표 달성률에 따라 책정되는 직원 경영성과급 기준지급률은 평가연도 기준 '20년 160%, '21년 400%로 확정되었습니다. 
    사업보고서 임금산출 대상자의 평균 경영성과급은 '20년('21년 지급분) 7백만원, '21년('22년 지급분) 18백만원입니다. ",8/29 매일경제 보도
67,2022-08-31,언론 문의,,주의,"제목 타이틀 변경 ""비상 상황 > 안전 우려""
식량 사업을 육성하기 위해 흑해 연안 우크라이나 미콜라이우 항구에 곡물터미널 지분을 인수해 운영하고 있다. 
곡물 저장고와 하역시설 등으로 구성된 미콜라이우 터미널의 자산 가치는 지난 6월말 기준 784억원이다. 곡물터미널에 저장된 재고는 약 41억원 규모다.
미콜라이우를 둘러싸고 교전이 발생했지만, 현재까지 포스코인터내셔널 곡물터미널에는 별다른 피해가 없는 상황이다. 포스코인터내셔널 측은 저장된 곡물은 육로를 통해 다른 유럽 국가로 반출하고 있다고 설명했다. 그런데 미콜라이우는 최근까지 러시아의 직접 공격에 인명·재산 피해가 이어지는 등 안심하기 힘든 상황이다. 지난달 말에는 우크라이나 최대 농업기업 중 하나인 니불론(Nibulon)의 창립주이자 소유주 올렉시 바다투르스키가 러시아의 공격으로 사망하기도 했다.","8/31 조선비즈 보도
https://biz.chosun.com/industry/company/2022/08/31/K7XGPGDVLZFT7GXMTJ4B35IT4U/?utm_source=naver&utm_medium=original&utm_campaign=biz"
68,2022-09-05,보도자료,,관심,포스코인터내셔널 우크라이나산 옥수수 해로를 통해 운송 중,
69,2022-09-05,언론 문의,,관심,"1. 향후에도 우크라이나산 곡물을 국내로 수입할 계획인지?
    - 시장상황을 주시하며 추가 수입은 검토 중임
    - 이번 수출은 우크라이나에 계류된 선박이 우크라이나에서 나오면서 곡물을 수출한 건으로, 추가 거래시 새로운 선박을 입항시켜야 하는데 리스크가 높아 추진하기 쉽지 않음(공개 x)

2. 사료용 옥수수 6만 1천톤 수량에 대한 설명
    - 한국의 1년 옥수수 수입량은 1100만톤이며, 이중 900만톤 가량이 사료용으로 사용됨

3. 우크라이나 곡물터미널에 보관된 잔량은? 
    - 공개 불가",매일경제 기자 문의
70,2022-09-05,언론 문의,,주의,"Q. 세넥스 에너지가 천연가스전 증설 프로젝트의 환경영향평가에 대해 면제 신청을 했다가 호주 환경부로부터 거절당한 것에 대한 입장은?
세넥스에너지를 당사가 인수하기 전, 세넥스에서 환경평가절차를 이미 완료했습니다. 
다만, 호주법상 오너가 바뀌면 환경평가절차를 다시 해아한다는 법이있어 효율성 측면에서 면제 신청을 했었던 것입니다. 
환경평가절차는 인수시에도 알고 계획했던 부분이어서, 면제를 신청해서 승인이 난다면 좋겠지만 안된다고해서 계획에 차질이 생기는 상황이 아니었습니다. 
따라서, 호주 정부의 입장에 따라, 법대로 환경영향평가를 진행할 예정입니다. ","뉴스펭귄 문의 > 보도화
https://www.newspenguin.com/news/articleView.html?idxno=12319"
71,2022-09-06,언론 문의,,관심,"콜롬비아, 페루, 칠레, 볼리비아 시장에서 가전,TV 판매하는 DAEWOO라는 기업이 포스코인터내셔널의 상표권과 상관이 있는지?
* 업체명 : 대우콜롬비아 https://daewooelectronics.co/
문의해주신 내용 관련 해당 업체는 포스코인터와의 상표권 계약을 통해서 콜롬비아, 페루, 칠레, 볼리비아 지역에 가전, TV를 판매하는 업체임을 확인 드립니다. ","더구루 문의 > 보도화
https://www.theguru.co.kr/news/article.html?no=41625"
72,2022-09-06,언론 문의,,관심,"Q. 현재처럼 천연가스 가격이 오르면, 포스코인터내셔널이 미얀마가스전의 공급가격에도 영향이 있는 것인가?
미얀마 가스전 판매가격은 판매시점의 국제유가(50%), 미국 소비자 및 생산자물가지수(40%) 등과 연동해 결정된다. 유가는 직전 12개월 가격의 평균값을 반영하기 떄문에 유가 상승 추세에 후행해 반영되는 구조이다.","비즈니스포스트 장은파 기자 문의 > 보도화
https://www.businesspost.co.kr/BP?command=article_view&num=292056
"
73,2022-09-06,언론 문의,,관심,"Q. 포스코인터내셔널의 포스코에너지 인수는 사업 다각화 혹은 규모확대? 어떤 방향으로 이해해야 할까요?
포스코에너지 인수 건은 두 가지 모두 해당이 되는 경우입니다.  기존 포스코인터내셔널이 영위해 온 LNG 업, 미들스트림 사업 영역(E&P 및 트레이딩 중심)에서 다운스트림(저장, 유통사업)까지 밸류체인 포트폴리오를 '다각화'하면서 동시에 이러한 기존 사업 합병을 통해 전반 에너지사업에서 규모의 경제를 일으킬 수 있습니다. 자세한 내용을 IR자료 통해 공유드리도록 하겠습니다. (공유완)
Q. 인수가 언제 완료되는거죠? 대금 지급일은요?
12월 8일 주식매수청구 대금 지급이 완료되며, 내년도 1월 1일 공식 합병기일이 될 예정입니다.
Q. 고환율, 천연가스 원자재 가격 강세가 상사 실적에 유리한 이유는?
고환율 = 원화약세를 뜻한다. 포스코인터내셔널은 이런 구조에서 수출을 하면 할수록 매출 상승에 유리하다.
또한 미얀마 가스전 등 에너지, 식량, 소재사업 등 해외 사업들은 환율이 높아짐에 따라 수익성이 함께 높아지며, 니켈, 팜유 등 원자재 가격이 오르면 투자법인의 수익성이 올라가기에 포스코인터내셔널 실적에 유리하다.
(IR담당 내용 확인 완)","문화일보이승주 기자 문의 > 보도화
(IR담당 확인)"
74,2022-09-07,언론 문의,,관심,"Q. 이번 하반기 채용 규모는?
미정이다.",아시아투데이 기자 문의
75,2022-09-08,언론 문의,,관심,"포스코인터내셔널(POSCO International Corporation,이하 포스코)이 캐나다 노스웨스트코퍼(NorthWest Copper Corp, 이하 노스웨스트)의 보통주 722만8916주를 인수
포스코가 이번에 인수한 노스웨스트의 주식은 지난 2021년말 포스코가 캐나다 콰니카 광산(1) 지분 전량을 노스웨스트에 매각하면서 매각대금 대신 받기로 한 노스웨스트의 주식 31.02%이며(2), 총 1100만 캐나다달러(약 115억7000억원)로 1주당 0.415캐나다달러(약 436원)의 가치를 지닌 것으로 나타났다.
포스코는 이번 주식 인수 전 노스웨스트의 주식 1112만9523주를 보유해 약 7.1%의 지분을 보유하고 있었으며 이번 인수로 1835만8439주를 보유하게 돼 노스웨스트의 약 11.1%지분을 보유하게 된다. 지난 2017년 포스코는 캐나다 세렝게티 리소스와 합작 법인 KCC를 세우고 구리, 금 등이 매장된 콰니카 광산에 대한 탐사사업을 진행했었다. 이 광산에는 3000억 원 상당의 구리 272kt(킬로톤)과 금 676koz(킬로온스)가 매장돼 있는 것으로 알려져 있었다. 3년간의 예비 타당성 조사(PFS)와 탐사 사업을 병행했으나 사업성이 없다고 판단한 포스코는 2020년 추가 투자를 중단하고 매각을 추진했으며 캐나다노스웨스트에 지분 전량을 매각했다.

* 팩트 정정
1.탐사 광구 입니다. 광산은 상업생산이 개시된 가행광산을 표현할 때 쓰는 말로 적합하지 않습니다.
2.31.02%는 당사의 매각대상 자산인 콰니카 광물 탐사 법인(Kwanika Copper Corporation) 지분 입니다. 
","글로벌이코노미 보도
https://news.g-enews.com/article/Global-Biz/2022/09/2022090806342269776ed0c62d49_1?md=20220908070340_U"
76,2022-09-13,언론 문의,,관심,"<팩트>
- 위니아전자에서 먼저 당사에 소송(100억 배상)
- 당사는 반소제기(하는 과정에서 사용료 등 관련 53억원 주장)
- 지난 9월 2일 판결(기사에 나온 것처럼 당사 승소)
- 위니아전자에서 항소 가능성 있음(다음주 중 항소여부 나올 것으로 예상)
- 참고로 당사가 받을 건 53억에 이자 약 12억원, 도합 65억원

<언론사 대응>
- 기사 내용이 맞음
- 위니아전자에서 당사에 먼저 소송제기했으나 당사에 배상하라는 판결이 나온 상황
- 당사는 판결관련 특별한 입장 없으며 판결 결과에 따라 진행하겠음","이투데이 보도
https://www.etoday.co.kr/news/view/2171429"
77,2022-09-19,,,관심,포스코에너지 화력발전 ‘회사채 흥행 실패’…포스코인터 합병 영향은?,아시아투데이
78,2022-09-22,보도자료,,관심,"포스코인터내셔널의 이스틸포유, 국내 No.1 철강 온라인 플랫폼으로 변신 중",
79,2022-09-22,언론 문의,,관심,"<기자 문의 & 답변>
1. 문의 1 : 포스코모빌리티솔루선 공장 상황
  - 답변 : 포항, 천안, 중국, 멕시코(24년 상반기 가동) 설명

2. 문의 2 : 홍수 피해 / 소재 수급에 차질 있는 것 아니냐?
  - 답변 : 공장 홍수피해 거의 없다 답변 / 소재의 경우 현재 보유 재고 사용예정이며 포스코상황에 따라 필요시 다각도로
             대응책 검토해 대응하겠다.     * 포스코모빌리티솔루션과 확인 완료

포모쏠의 재고가 2개월이다 이렇게 나오는 상황이라 이게 다소 확산될 수도 있는 모양새인데, 사실은 그렇지 않고 (저희 내부 정보지만) 3-4개월은 가능하다고 합니다. 물론 재고에 대해 저희가 먼저 얘기할 필요는 없으나 2개월은 사실이 아니다 정도는 물어보면 알려줘도 될 것 같습니다.

NO전기강판 자체가 만성적으로 공급부족이라 원래도재고를쌓아놓고 생산하진않는데 현재광양제철소에도 NO전기강판생산라인을 구축하고있습니다. 내년말이나 24년에는 광양에서도 NO생산예정입니다",아주경제 김수지 기자 문의
80,2022-09-22,언론 문의,,관심,"1. 당사에서 최근 사우디아라비아 'Al Fouad Group of Companies'랑 대우 브랜드 상표권 계약 맺었는지?
   * 포스코인터가 알푸아드 멀티미디어 전자회사에 대우 브랜드에 대한 독점권과 제조권을 부여했다고 들었음
계약은 아직 미체결 상태입니다. - 오픈해줄게 없음
2. 계약규모는? 
양사간의 계약 규모는 Open할 수 없습니다(영업 기밀에 해당)",더구루 문의
81,2022-09-23,기획기사,,관심,"포스코인터, 식량안보 기여",월간조선
82,2022-09-26,보도자료,,관심,포스코인터내셔널 호주에서 가스생산 확대 본격화… 2025년까지 가스 생산 3배 확대,
83,2022-09-27,보도자료,,관심,포스코인터내셔널 인도네시아 파푸아주에서 의료 사회공헌 재개한다,
84,2022-09-27,기획기사,,관심,"우크라 곡물 들어왔지만…“밀가루 가격, 또 오를 것”",KBS
85,2022-10-03,,,관심,세계는 에너지 확보 전쟁인데…해외탄광 매각 열올리는 한국,매일경제
86,2022-10-04,,,관심,"[카드] 제이스코홀딩스-포스코인터내셔널, 철강 비즈니스 '맞손'",프라임경제
87,2022-10-05,,,관심,"윌로그, 포스코인터내셔널과 콜드체인 모니터링 솔루션 POC 사업을 위한 업무협약 체결",매일경제
88,2022-10-05,,,관심,"포스코인터내셔널, '대우상사' 벗고 '에너지기업' 도약",EBN
89,2022-10-05,,,관심,"포스코인터내셔널, 3년 연속 ESG 최고등급",한국경제
90,2022-10-05,기획기사,,관심,미생에서 완생으로…'신사업 돌격대장' 거듭나는 포스코인터,한국경제
91,2022-10-06,,,관심,"포스코인터, 카자흐스탄 야금 클러스터 조성",더구루
